OBJECTID, SCHOOL_NAME, PHONE, SCHOOL_ADDRESS, CITY, STATE, ZIP_CODE, COUNTRY, HEAD_OF_SCHOOL, EMAIL_ADDRESS, WEBSITE, ENROLLMENT_SIZE, ESTABLISHED_YEAR, GRADE_BRACKETS, TUITION_RANGE, ACCREDITATION_STATUS, FEATURES, SCHOOL_SERVICES_PROGRAMS, HIFDH_PROGRAM, FACEBOOK, INSTAGRAM, TWITTER, YOUTUBE, LINKEDIN, FLICKR, FID, LATITUDE, LONGITUDE
"70","Al-Noor Academy High School","(508) 261-7077","20 Church St, Mansfield, MA 02048","Mansfield","Massachusetts","Prek-12th","United States","SOFIANE HAFIANI","shafiani@alnooracademy.org","https://www.alnooracademy.org/","","1996","Prek-12th","$7000-$8999","Yes","","","","https://www.facebook.com/Al","","https://twitter.com/alnooracademy","","","","70","42.0297629","-71.2173131"
"71","Knowledge Academy of Andover","(978) 774-3011","261 N Main St, Middleton, MA 01949","Middleton","Massachusetts","","United States","Oya Bozkurt","kaprincipal@gmail.com","","60","2010","","","In-progress","hot lunch, scholarship, science lab, uniforms, sibling disc","","","","","","","","","71","42.6159575","-71.0450951"
"72","Malik Academy","(617) 868-2322","100 Malcolm X Blvd, Boston, MA 02119","Boston","Massachusetts","1-8th","United States","Tazeeya Syed","principal@malikacademy.org","http://MalikAcademy.org","80","2005","1-8th","$5000-$6999","Yes","hot lunch, scholarship, sibling disc,,financial aid, breakfast, after school programs, uniforms","","","https://www.facebook.com/MalikAcademyAndAlBustan","","https://twitter.com/MalikandBustan","","","","72","42.3308791","-71.0933695"
"73","Malik Academy/ Al Bustan Pre-school","(617) 427-0500","808 Memorial Dr, Cambridge, MA 02139","Cambridge","Massachusetts","Prek-K","United States","Mrs. Mervat Zaghloul","info@malikacademy.org","http://malikacademy.org","","2005","Prek-K","$5000-$6999","No","","","","https://www.facebook.com/MalikAcademyAndAlBustan","","https://twitter.com/MalikandBustan","","","","73","42.3607318","-71.1153677"
"74","Central Academy","(734) 332-9220","2459 S Industrial Hwy, Ann Arbor, MI 48104","Ann Arbor","Michigan","Prek-12th","United States","Sejad Melkic","melkics@gee-edu.com","http://centralacademy.net","","","Prek-12th","$0-$2999","Yes","IB program,","","","https://www.facebook.com/CentralAcademyAnnArbor/?ref=page_internal","https://www.instagram.com/geeacademies/","https://twitter.com/GEEAcademies","","","","74","42.2504891","-83.73174279999999"
"75","Crescent Academy International","(734) 729-1000","40440 Palmer Rd, Canton, MI 48188","Canton","Michigan","Prek-8th","United States","Pembe Yasarlar","principal@crescentacademy.org","http://www.crescentacademy.org/","478","1991","Prek-8th","$7000-$8999","Yes","hot lunch, scholarship, science lab, uniforms, sibling disc,enrichment workshops, sports, clubs, childcare","","","https://www.facebook.com/CAIFB","","https://twitter.com/CrescentCAI","","","","75","42.2953035","-83.43844039999999"
"76","Muneer Academy and Michigan Islamic Institute","(586) 999-9581","11200 E Eleven Mile Rd, Warren, MI 48089","Warren","Michigan","4th - 12th","United States","Shaykh Mohammed Ishtiaq","ishtiaq.muneeracademy@gmail.com","https://www.muneeracademy.org/","","2018","4th - 12th","$5000-$6999","Yes","scholarships, full-time studies,full-time hifdh, full-time aalimah, Islamic Summer School, seerah, tafsir al-Quran, Principles of Islamic Jursiprudence, Weekend Quran class, Scholarships","","","","","","","","","76","42.4909957","-83.0128193"
"77","International Islamic Academy","(248) 626-0900","32220 Franklin Rd, Franklin, MI 48025","Franklin","Michigan","Prek-9th","United States","Mona Helmy","mona.helmy@hudaschool.org","http://hudaschool.org","392","1988","Prek-9th","$7000-$8999","Yes","hot lunch, scholarship, science lab, uniforms, sibling disc,financial aid,IB program","","","https://www.facebook.com/HudaSchoolMI/","","","","","","77","42.5236829","-83.3050671"
"78","International Islamic Academy (IIA)","(313) 584-6448","14350 Tireman Ave, Detroit, MI 48228","Detroit","Michigan","","United States","Sumaiya Gavell","iia@iiaschool.org","http://iiaschool.org","175","2011","","","No","sibling disc, staff disc","","","","","","","","","78","42.3521954","-83.1834971"
"79","Islamic School of Grand Rapids","(616) 301-0110","3972 Rowland Ave SE, Grand Rapids, MI 49546","Grand Rapids","Michigan","Prek-2nd","United States","Halima Ismail","lsmith@islamicschoolgr.com","http://www.islamicschoolgr.com","17","2018","Prek-2nd","$5000-$6999","No","scholarship, uniforms, sibling disc","","","http://www.facebook.com/islamicschool.grandrapids","","","","","","79","42.921975","-85.57216969999999"
"80","Muslim American Youth Academy (M.A.Y.A.)","(313) 436-3300","19500 Ford Rd, Dearborn, MI 48128","Dearborn","Michigan","Prek-8th","United States","Hajji Hala Hazimi","contact@mayaschool.org","","","2018","Prek-8th","$7000-$8999","Yes","","","","https://www.facebook.com/MAYASchool.org/","https://www.instagram.com/maya_school/","","","","","80","42.3303034","-83.2296882"
"81","Dreamy Islamic Academy","","27335 W Warren St, Dearborn Heights, MI 48127","Dearborn Heights","Michigan","","","","","","","","","","","","","","","","","","","","81","42.33964","-83.3117103"
"82","Shajara Tayyiba","(734) 455-0255","7437 Sheldon Rd, Canton, MI 48187","Canton","Michigan","Prek-8th","","","office@shajaratayyiba.org","https://www.shajaratayyiba.org/","","","Prek-8th","","","Hifth program, associate degree, summer camp","","","","","","","","","82","42.3388977","-83.479626"
"83","Noor Academy","(248) 852-9345","879 W Auburn Rd, Rochester Hills, MI 48307","Rochester Hills","Michigan","Prek-2nd","United States","​Anjum Sultana","administrator@nooracademy.org","http://nooracademy.org","70","2005","Prek-2nd","","In-progress","sibling disc","","","","","","","","","83","42.63474009999999","-83.1496114"
"84","Star International Academy","(313) 724-8990","24425 Hass St, Dearborn Heights, MI 48127","Dearborn Heights","Michigan","3rd - 12th","United States","Nawal Hamadeh","hsemco@aol.com","http://starpsa.org","","1998","3rd - 12th","$0-$2999","No","","","","https://www.facebook.com/starintacademy/","https://www.instagram.com/starintacademy/?hl=en","","","","","84","42.3334123","-83.27719909999999"
"85","Star International Academy","(313) 724 - 8060","Dearborn Heights, MI 48127","Dearborn Heights","Michigan","Prek-2nd","United States","Nawal Hamadeh","hsemco@aol.com","http://starpsa.org","","1998","Prek-2nd","$0-$2999","No","","","","https://www.facebook.com/starintacademy/","https://www.instagram.com/starintacademy/?hl=en","","","","","85","42.3446054","-83.2827093"
"86","Star International Academy","(734) 331-3081","45081 Geddes Rd, Canton, MI 48188","Canton","Michigan","Prek-8th","United States","Nawal Hamadeh","hsemco@aol.com","http://starpsa.org","","1998","Prek-8th","$0-$2999","No","","","","https://www.facebook.com/starintacademy/","https://www.instagram.com/starintacademy/?hl=en","","","","","86","42.2757304","-83.4819421"
"87","Universal Academy","(313) 581-5006","Dearborn, MI 48120","Detroit","Michigan","Prek-12th","United States","Nawal Hamadeh","hsemco@aol.com","http://www.universalpsa.org","","","Prek-12th","$0-$2999","No","","","","https://www.facebook.com/uadetroit","https://www.instagram.com/uadetroit/?hl=en","https://twitter.com/UADetroit?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor","","","","87","42.3049172","-83.1916937"
"88","New Medina High School & Clara Muhammad School","(601) 909-0040","16 Al-Halim Road, Sumrall, MS 39482","Sumrall","Mississippi","K-12th","United States","Imam Alvin Shareef","info@newmedinahschools.org","https://newmedinahschools.org/index.html","","1991","K-12th","$0-$2999","No","","","","","","","","","","88","31.4173981","-89.5448658"
"89","Islamic School of Greater Kansas City","(816) 763-0322","8505 E 99 St, Kansas City, MO 64134","Kansas City","Missouri","Prek-5th","United States","Saba Hamouda","shamouda@iscgkc.org","http://iscgkc.org","0","1989","Prek-5th","$3000-$4999","Yes","uniform, financial aid, lunch program, transportation, extracurricular activities","","","https://www.facebook.com/iscgkc/","https://www.instagram.com/iscgkcschool/?hl=en","https://www.facebook.com/iscgkc/","","","","89","38.9429711","-94.49132379999999"
"90","Muhammad Islamic Academy","(314) 495-6316","3625 N Garrison Ave, St. Louis, MO 63107","St. Louis","Missouri","Prek-12th","United States","Janiece Muhammad","muhammadacademy@msn.com","","","2003","Prek-12th","$3000-$4999","No","","","","https://www.facebook.com/MuhammadIslamicAcademySTL/","","","","","","90","38.6595709","-90.2153623"
"91","Universal Academy Islamic School (UAIS)","(816) 965-0186","10515 Grandview Rd, Kansas City, MO 64137","Kansas City","Missouri","Prek-12th","United States","Victorie Hollwell","zazlan.uais@gmail.com","","80","1989","Prek-12th","$0-$2999","Yes","financial aid","","","","","","","","","91","38.93519060000001","-94.5402567"
"92","Academy of Greatness and Excellence","(201) 836-2555","110 Mt Vernon St, Ridgefield Park, NJ 07660","Ridgefield Park","New Jersey","Prek-12th","United States","Iman ElDessouky","principal@agenj.com","http://www.agenj.com","108","2013","Prek-12th","$0-$2999","Yes","hot lunch, scholarship, science lab, uniforms,after school program, Orphan Student Scholarship, financial aid, AGE STEM program","","","https://www.facebook.com/agetoday","https://www.instagram.com/explore/locations/390275673/united","","","","","92","40.85683909999999","-74.0230809"
"93","Al-Ghazaly Elementary School","(201) 433-5002","17 Park St, Jersey City, NJ 07304","Jersey City","New Jersey","Prek-8th","United States","Farhat Ali","AlGhazalyschoolincjc@gmail.com","","196 (Niche)","1984","Prek-8th","$0-$2999","No","","","","https://www.facebook.com/AlGhazalySchool/","https://www.instagram.com/alghazalyschool/?hl=en","","","","","93","40.7168796","-74.06952969999999"
"94","Al-Ghazaly Junior/Senior High School (IEF Schools)","(862) 377-0876","970 Black Oak Ridge Rd, Wayne, NJ 07470","Wayne","New Jersey","9th-12th","United States","Hayat Jaludi","","https://www.iefschools.org/","","","9th-12th","$0-$2999","No","","","","https://www.facebook.com/Alghazalyjrsrhigh/","","","","","","94","40.9726464","-74.2708576"
"95","Al-Hikmah Elementary School (IEF Schools)","(973) 790-4700","278 N 8th St, Prospect Park, NJ 07508","Prospect Park","New Jersey","Prek-6th","United States","Hayat Jaludi","principal@alhikmahschool.com","https://www.iefschools.org/","280","","Prek-6th","$0-$2999","No","","","","https://www.facebook.com/AlHikmahElementarySchool/","","","","","","95","40.9325552","-74.17220859999999"
"96","An-Noor Academy and Darul-Huda Institute","(732) 667-5300","1000 Hoes Ln, Piscataway, NJ 08854","Piscataway","New Jersey","Prek-12th","United States","Nora Salem","info@annooracademy.com","http://www.annooracademy.com/","330","2000","Prek-12th","$5000-$6999","Yes","science lab, uniforms, sibling disc, staff disc; financial aid,Tahfeez program (Darul Huda), extra curricular, Early Childhood (ECL), scholarships","","","https://facebook.com/annooracademyNJ","","https://twitter.com/annooracademyNJ","","","","96","40.529592","-74.4685226"
"97","Badr School","(201) 435-1075","539 Bergen Ave, Jersey City, NJ 07304","Jersey City","New Jersey","Prek-8th","United States","Heba Abdel Kader","badrschool.a@gmail.com","https://www.badrschool.org/","","","Prek-8th","$0-$2999","Yes","meals program","","","https://www.facebook.com/badrislamicschool/","","","","","","97","40.7191759","-74.0748531"
"98","Darul Arqam School","(732) 238-0038","8 Thomas St, South River, NJ 08882","South River","New Jersey","Prek-12th","United States","Mareeya Agheem​","admin@darularqam.org","http://www.darularqam.org/","220","1997","Prek-12th","$5000-$6999","Yes","science lab, uniforms, Islamic Studies Dual Degree program, extracurricular activities, Model UN, Science and Math Olympiad, hot lunch","","","http://www.facebook.com/darularqam","","","","","","98","40.4513517","-74.3828292"
"99","ICOB Academy","(732) 583-2031","205 NJ-35, Keyport, NJ 07735","Cliffwood Beach","New Jersey","Prek-6th","United States","Afsar Gul","icoba.office@gmail.com","https://www.icobnj.org/icobacademy/","46","1998","Prek-6th","$3000-$4999","No","hot lunch,  uniforms, sibling disc","","","https://www.facebook.com/ICOB","","","","","","99","40.4503797","-74.2383717"
"100","Islamic Academy of Burlington County","(609) 531-2206","613 Sunset Rd, Burlington, NJ 08016","Burlington","New Jersey","Prek-12th","United States","Muhammad Zaki","islamicacademyburlingtoncounty@gmail.com","http://www.islamicabc.com","84","2008","Prek-12th","$3000-$4999","No","science lab, uniforms, sibling disc","","","","","","","","","100","40.0476306","-74.8623635"
"101","Islamic School Of Trenton","(609) 695-9900","25 Oxford St, Trenton, NJ 08638","Trenton","New Jersey","K-12th","United States","","admin@islamicschooloftrenton.org","http://islamicschooloftrenton.org","","2001","K-12th","$3000-$4999","No","enrichement courses, financial aid,","","","https://www.facebook.com/islamicschooloftrenton","","","","","","101","40.2287121","-74.7585203"
"102","Madrastu Ahlis Sunnah","(973) 672-4124","215 N Oraton Pkwy, East Orange, NJ 07017","East Orange","New Jersey","Prek-12th","United States","Brother Elijah (no longer principal)","gelgaaly@thesunnah.org","http://ahlusunnahschool.org","","","Prek-12th","$0-$2999","No","","","","https://www.facebook.com/IslamicCenterofAmerica","","https://mobile.twitter.com/IcoaNj","","","","102","40.7651251","-74.2059179"
"103","Miftaahul Uloom Academy","(201) 223-9920","501 15th St, Union City, NJ 07087","Union City","New Jersey","Prek-12th","United States","Khuloud Jaludi","info@muanj.org","http://www.muanj.org/","120","1996","Prek-12th","$5000-$6999","Yes","hot lunch, scholarship, uniforms, sibling disc, staff disc; financial aid,Quran recitation program (Nuraniyah Training), after school program,","","","https://business.facebook.com/miftaahululoomacademy/?business_id=119591585419348","https://www.instagram.com/muanj_org/","https://twitter.com/muanj_org","","","","103","40.7615061","-74.0366679"
"104","Noble Leadership Academy","(973) 685-2550","1-30 Summit Ave, Fair Lawn, NJ 07410","Fair Lawn","New Jersey","Prek-12th","United States","Amanny Khattab","amannyk@noblela.org","http://www.noblela.org/","350","2009","Prek-12th","$5000-$6999","In-progress","hot lunch,science lab, uniforms, sibling disc,  financial aid,Technology, Art, STEM, Dual enrollment classes, extracurricular activities, internships, reading and writing club,","","","https://www.facebook.com/NobleLeadershipAcademy","https://www.instagram.com/nobleleadership/","","","","","104","40.9221369","-74.1194539"
"105","Pillars Preparatory Academy","(732) 390-4200","34 Charles St, South River, NJ 08882","South River","New Jersey","Prek-12th","United States","abir.catovic@pillarsprep.com","","http://www.pillarsprep.com","150","2015","Prek-12th","$7000-$8999","Yes","hot lunch, uniforms, sibling disc. science lab,Art, Early Childhood program, college counseling,","","","http://www.facebook.com/PillarsPrep/","https://www.instagram.com/pillarsprep/?hl=en","","","","","105","40.4475791","-74.3780467"
"106","Quba School & Islamic Center","(856) 870-8170","1311 Haddon Ave, Camden, NJ 08103","Camden","New Jersey","","United States","","qubaislamiccenter@hotmail.com","https://www.islamicfinder.org/world/view-place/575/?fbclid=IwAR1O8uraiz0GX_pGy7aLFZwgIv2KEt6-RhRNY74L4TRtrAlUx6Y6q32MZSo#google_vignette","","1985","","","","","","","https://www.facebook.com/qubaislamiccenter/","https://www.instagram.com/quba.school.islamic/","https://twitter.com/qubaschool","","","","106","39.9311558","-75.1017433"
"107","Rising Star Academy","(201) 758-5590","4613 Cottage Pl, Union City, NJ 07087","Union City","New Jersey","Prek-12th","United States","Hala Shehadeh","shehadehh@aol.com","https://www.rsanj.org/","175","2009","Prek-12th","$5000-$6999","Yes","National Honor Society, Sciene Olympiad, Debate, Model United Nations, Athletics, Spelling Bee, Early Childhood programs","","","https://www.facebook.com/pages/category/Elementary","https://www.instagram.com/rsa_nj/?hl=en","https://twitter.com/rising_star_nj","","","","107","40.7812446","-74.02344819999999"
"108","Al Madrasa Al Islamiyah","(718) 567-3334","5224 3rd Ave, Brooklyn, NY 11220","Brooklyn","New York","Prek-8th","United States","Amateka Morgan","almadrasanyc@gmail.com","","193","1987","Prek-8th","$0-$2999","No","","","","https://www.facebook.com/almadrasaalislaimiya","https://www.instagram.com/al_madrasa_al_islamiya/","","","","","108","40.6462755","-74.0165714"
"109","Al Noor Elementary and Intermediate School","(718) 768-7181","675 4th Ave, Brooklyn, NY 11232","Brooklyn","New York","Prek-12th","United States","Abdulhakeem Alhasel","office@alnoornyc.org","https://www.alnoornyc.org/","580 (website)","1994","Prek-12th","$5000-$6999","Yes","Hot lunch and breakfast, uniform, Humanitarian Club, Science Olympiad, Debate club, Youth Fitness Sports Program, Girls Who Code, Chess Club, Big Sister, Little sister Club, Interfaith Club, HOSA, Future health professionals,News letter club, Book Club, Engineering Club, Drama Club, Math Club, Performing Arts, Student Leadership Team","","","https://www.facebook.com/AlNoorSchoolNYC/","https://www.instagram.com/explore/locations/1023461759/united","","","","","109","40.6629007","-73.9949859"
"110","Al Hidaya Learning","(518) 344-4667","293 Troy-Schenectady Rd, Latham, NY 12110","Latham","New York","Prek-8th","United States","Imam Yacine Boudjema","Learning@al-hidaya.org","https://sites.google.com/al-hidaya.org/learning/home","25","2023","Prek-8th","$0-$2999","Yes","scholarship,uniforms,","","","https://www.facebook.com/AlHidayaCenterLatham","https://www.instagram.com/al_hidaya_center/","","","","","110","42.7430495","-73.7432578"
"111","Al-Ihsan Academy (formerly Islamic Elementary School)","(718) 322-3154","130-08 Rockaway Blvd, Queens, NY 11420","South Ozone  Park","New York","K-12th","United States","Shaykh Rafeek Mohamed","rafeek.mohamed@ihsanacademy.org","http://www.ihsanacademy.org/","514","1989","K-12th","$0-$2999","In-progress","breakfast, hot lunch, scholarship, uniform, transportation, robotics club, debate club, soccer club, art club, scholarships","","","https://www.facebook.com/alihsan89","https://www.instagram.com/alihsanacademyny/","https://twitter.com/alihsan11","","","","111","40.6746943","-73.80818579999999"
"112","Al-Madinah School","(718) 222-4986","383 3rd Ave, Bronx, NY 10451","Brooklyn","New York","Prek-12th","United States","Zenab El Kady","info@almadinah-school.com","http://almadinah-school.com","","2000","Prek-12th","$5000-$6999","Yes","afterschool programs, high school early graduation program, National Honor Society,","","","https://www.facebook.com/almadinahschoolinc","https://www.instagram.com/almadinahschoolinc/","https://twitter.com/AlMadinah_Elem","","","","112","40.8116822","-73.92666"
"113","Al-Rasheed Academy","(716) 822-0440","Buffalo, NY 14218","Lackawanna","New York","Prek-12th","United States","Amin ul Islam","principal@alrasheedacademy.org","http://www.alrasheedacademy.org/","65","2009","Prek-12th","$0-$2999","In-progress","sibling disc,financial aid","","","https://www.facebook.com/Alrasheedacademy.org/","https://www.instagram.com/alrasheedacademy/?hl=en","","","","","113","42.8168447","-78.83260159999999"
"114","Annur Islamic School","(518) 395-9866","2195 Central Ave, Schenectady, NY 12304","Schenectady","New York","Prek-12th","United States","SOHAIB CHEKIMA","aisprincipal@annurislamicschool.org","http://www.annurislamicschool.org","142","1991","Prek-12th","$0-$2999","Yes","financial aid,social and emotional learning, physical education and martial art, tarbiyah program, uniform","","","https://m.facebook.com/pg/annurislamicschool/photos/","https://www.instagram.com/annurislamicschool_/","https://mobile.twitter.com/schoolannur","","","","114","42.7618248","-73.881062"
"115","Welcome to Clara Muhammad School, Queens","(646) 645-9531","103-02 Northern Blvd, Queens, NY 11368","Corona","New York","K-12th","United States","Shirley Sharifa Dye","scmsq.edu@gmail.com","https://www.claramuhammadschoolqueens.com/","","1980","K-12th","$0-$2999","No","computer science, culinary arts, computer technology profiencency certification, intensive college prep program,","","","https://ne","","","","","","115","40.7573712","-73.86547589999999"
"116","Clara Muhammad School","(718) 783-1279","120 Madison St, Brooklyn, NY 11216","Brooklyn","New York","Prek-8th","United States","Imam Adib Rashid","","http://www.cmsbrooklyn.org/","","1934","Prek-8th","$0-$2999","No","","","","","","","","","","116","40.6841338","-73.95444499999999"
"117","Cordoba House Sunday School","(646) 750-0324","305 W Broadway, New York, NY 10013","New York","New York","Prek-12th","United States","Naz Georgas","naz@cordobahouse.com","http://cordobahouse.com/","65","2015","Prek-12th","$0-$2999","No","","","","https://www.facebook.com/cordobahousenyc","","https://twitter.com/cordoba_house","","","","117","40.721908","-74.004937"
"118","Crescent School","(516) 292-1787","130 Front St, Hempstead, NY 11550","Hempstead","New York","Prek-12th","United States","Iffat Ahmed","principal@crescenthighschool.com","https://crescentk12.org/","","1991","Prek-12th","$0-$2999","Yes","","","","https://m.facebook.com/profile.php?id=389236844565035&__tn__=C","","","","","","118","40.7038876","-73.63109089999999"
"119","Darul Uloom Al Madania  (Boarding School for Girls and Boys - Separate Campuses)","(716) 892-2606","182 Sobieski St, Buffalo, NY 14212","Buffalo","New York","Prek-11th","United States","Faisal Ansari","office@madania.org","https://madania.ad-din.site/","","1994","Prek-11th","$0-$2999","No","","","","","","","","","","119","42.8991363","-78.8330567"
"120","El-Ber Islamic School","(718) 274-9060","25-42 49th St, Queens, NY 11103","Long Island City","New York","Prek-5th","United States","","office@elberschool.org","https://www.elberschool.org/","","1997","Prek-5th","$5000-$6999","No","","","","","","","","","","120","40.7635977","-73.90561989999999"
"121","Hamza Academy","(516) 285-1440","202 Stuart Ave, Valley Stream, NY 11580","Valley Stream","New York","Prek-4th","United States","Asma Khan","principal@hamzaacademy.org","http://www.hamzaacademy.com","90","2001","Prek-4th","$0-$2999","In-progress","sibling disc,ELA","","","https://www.facebook.com/HamzaAcademyNewyork/","https://www.instagram.com/hamzaacademy_valleystream/?hl=en","","","","","121","40.6858227","-73.7161623"
"122","Ideal Islamic School","(718) 728-5307","31-29 12th St, Queens, NY 11106","Astoria","New York","Prek-7th","United States","Khurshid Khan","info@idealislamicschool.org","http://idealislamicschool.org/","","1997","Prek-7th","$0-$2999","No","","","","https://www.facebook.com/people/Ideal","https://www.instagram.com/ideal_islamic_school/","","","","","122","40.7679662","-73.9338518"
"123","Ihsan School of Excellence","(315) 472-5040","1406 Park St, Syracuse, NY 13208","Syracuse","New York","Prek-8th","United States","Emily Reilly","info@ihsanschool.org","http://ihsanschool.org","84","2000","Prek-8th","$0-$2999","In-progress","hot lunch, scholarship, science lab, uniforms, sibling disc,transportation","","","https://www.facebook.com/ihsanschool/","","","","","","123","43.0683288","-76.1567235"
"124","Islamic Cultural Center School","(212) 722-1838","222 E 97th St, New York, NY 10128","New York","New York","Prek-8th","United States","Khadijah Jean Pryce","iccschool96@gmail.com","https://www.iccschooleast96.org/","77","2011","Prek-8th","","In-progress","hot lunch, science lab, uniforms, sibling disc, ,Middle School Counseling, Summer STEAM program,","","","https://www.facebook.com/pages/Islamic","","","","","","124","40.78545870000001","-73.9485435"
"125","Islamic Leadership School","(718) 825-1039","2000 Westchester Ave, Bronx, NY 10462","Bronx","New York","1st -12th","United States","Moussa Drammeh","ICCNAI@aol.com","","","","1st -12th","","","","","","","","","","","","125","40.8333986","-73.8575204"
"126","MDQ Academy","(631) 665-5036","1725 Brentwood Rd, Brentwood, NY 11717","Brentwood","New York","Prek-12th","United States","Atia Pasha","apasha@mdqacademy.org","http://www.mdqacademy.org","452","2003","Prek-12th","$5000-$6999","Yes","hot lunch, scholarship, science lab, uniforms, sibling disc, financial aid, college counseling","","","https://www.facebook.com/MDQAcademy/","https://twitter.com/MDQAcademy","","","","","126","40.7735886","-73.24174959999999"
"127","Miraj Islamic School","(718) 816-6161","307 Victory Blvd, Staten Island, NY 10301","Staten Island","New York","Prek-12th","United States","","mirajschool@mirajschool.org","","","1998","Prek-12th","$0-$2999","No","","","","https://www.facebook.com/mirajislamicschool","","https://twitter.com/mirajschool","","","","127","40.63484529999999","-74.0859584"
"128","Razi School","(718) 779-0711","55-11 Queens Blvd, Flushing, NY 11377","Woodside","New York","Prek-12th","United States","Seyed Hesam Karimi","contact@razischool.org","http://razischool.org","","","Prek-12th","$5000-$6999","No","Art contest, LEP & ESL, uniform, afterschool programs","","","https://www.facebook.com/RaziSchoolNYC/","https://www.instagram.com/therazischool/","","","","","128","40.7425712","-73.90961970000001"
"129","The Crescent Academy","(607) 729-3431","1 Endicott Ave, Johnson City, NY 13790","Johnson City","New York","Prek-5th","United States","Sister Amber Smith","info@thecrescentacademy.org","https://thecrescentacademy.org/","","2006","Prek-5th","$0-$2999","No","","","","https://www.facebook.com/thecrescentacademy/?fref=ts","","","","","","129","42.111948","-75.9493457"
"130","The Islamic Academy for Peace","(978) 975-7335","125 Oakland Ave, Methuen, MA 01844","Methuen","Massachusetts","Prek-8th","United States","Nadjette Lazzouni","principal@tiapeace.org","http://www.tiapeace.org","81","2001","Prek-8th","$5000-$6999","Yes","hot lunch, scholarship, science lab, uniforms, sibling disc, staff disc; financial aid","","","https://www.facebook.com/tia4peace/","https://www.instagram.com/tia4peace/","","","","","130","42.7198388","-71.192543"
"131","Wellspring Elementary","(718) 721-3523","90-20 191st St, Queens, NY 11423","Queens","New York","Prek-12th","United States","Jamuyah Jones, Ed.D. Shareefa Khan","info@TheWellspringSchools.org","https://www.thewellspringschools.org/","100","2011","Prek-12th","$7000-$8999","Yes","sibling disc","","","https://www.facebook.com/WellspringK12","https://www.instagram.com/thewellspringschools/","","","","","131","40.7132376","-73.7696026"
"132","Westfall Academy","(585) 442-0120","727 Westfall Rd, Rochester, NY 14620","Rochester","New York","Prek-6th","United States","Raqshinda Khan","raqshinda.khan@westfallacademy.org","https://www.westfallacademy.org","107","","Prek-6th","$3000-$4999","No","hot lunch,uniforms,","","","https://www.facebook.com/westfallacademy/","https://www.instagram.com/westfallacademy/?hl=en","https://twitter.com/westfallacademy","","","","132","43.114386","-77.6021387"
"133","Al-Huda Academy","(919) 572-9500","5104 Revere Rd, Durham, NC 27713","Durham","North Carolina","Prek-7th","United States","Zainab Abdul-Qaabidh","zqaabidh@alhudaacademy.net","http://www.alhudaacademy.net/","72","2010","Prek-7th","$3000-$4999","No","hot lunch, scholarship, science lab, sibling disc,financial aid","","","https://www.facebook.com/alhudaacademyNC/","","","","","","133","35.8945357","-78.91127519999999"
"134","Charlotte Islamic Academy","(704) 900-0255","N Tryon St, Charlotte, NC 28213","Charlotte","North Carolina","","United States","Mirza Azim Beg","Principal@ciacademy.us","http://www.ciacademy.us/","161","2007","","$3000-$4999","Yes","scholarship, science lab, uniforms, sibling disc","","","https://www.facebook.com/CharlotteIslamicAcademy/","","","","","","134","35.2987555","-80.7539625"
"135","Al Ihsan School","(216) 676-5006","4600 Rocky River Dr, Cleveland, OH 44135","Cleveland","Ohio","Prek-12th","United States","Maysa Jadallah M.Ed","info@alihsanschools.org","https://alihsanschool.net/","","2001","Prek-12th","$5000-$6999","No","","","","https://www.facebook.com/AlIhsanSchoolOfExcellence","","","","","","135","41.430411","-81.8252541"
"136","Avicenna Preparatory School","(614) 698-2001","90 Village Pointe Dr, Powell, OH 43065","Powell","Ohio","K-8th","United States","Shamsa B. Ali","info@avicennaprep.org","http://www.avicennaprepschool.com","49","2016","K-8th","$3000-$4999","In-progress","uniforms,international baccalaureate, foreign languages,","","","","","","","","","136","40.1599144","-83.083049"
"137","Dayton Islamic School, Inc","(937) 429-9477","3662 E Patterson Rd, Beavercreek, OH 45430","Beavercreek","Ohio","Prek-6th","United States","Shaad Ahmed","sahmed@dis4u.org","http://dis4u.org","89","1995","Prek-6th","$5000-$6999","No","hot lunch, scholarship, science lab, uniforms, sibling disc, staff disc; financial aid, extracurricular activities","","","https://www.facebook.com/DaytonIslamicSchool","","https://twitter.com/DaytonIslamicSc","","","","137","39.7260314","-84.0719868"
"138","Faith Islamic Academy","(330) 922-9991","152 E Steels Corners Rd, Stow, OH 44224","Cuyahoga Falls","Ohio","Prek-8th","United States","Nasser Razek","secretary@faithislamicacademy.org","https://www.fiaschool.org/home","","2000","Prek-8th","$5000-$6999","","","","","https://www.facebook.com/faithislamicacademy/","","","","","","138","41.1804324","-81.50316409999999"
"139","Islamic Academy of Youngstown (IAY)","(234) 719-1606","69 E Avondale Ave, Youngstown, OH 44507","Youngstown","Ohio","Prek-8th","United States","","info@theislamicacademyofyoungstown.com","","","","Prek-8th","$5000-$6999","No","","","","https://www.facebook.com/IAYschool/","","","","","","139","41.066838","-80.6572338"
