directory_organization_id,unique_id,name,address,city,state,zip_code,country,phone,website,email_primary,contact_person,contact_person_role,latitude,longitude,map_object_id,is_imported,is_active
97,4e6b4949-0b2b-4ef3-98ee-dd7325d6df09,Masjid Al Sunnah,"2400 6th St S, St. Petersburg, FL 33705",St. Petesburg,Florida,33705,United States,727 288 3636,https://isspmosque.com/,Info@arqamsacademy.com,,,27.7462998,-82.6399307,97,1,1
98,380002a5-a944-4e9a-a1cc-e39c66ce6af2,Islamic Foundation of South Florida,"5455 NW 108th Ave, Sunrise, FL 33351",Sunrise,Florida,33351,United States,(954) 213-8897,https://ifsf.net/,,,,26.190879,-80.2940936,98,1,1
99,93d59e42-90fe-40a8-81e7-d5288fd39040,Islamic Community of Tallahassee,"3617 Old Bainbridge Rd, Tallahassee, FL 32303",Tallahasee,Florida,32303,United States,(850) 514-0100,https://ictallahassee.org/,wist@ictallahassee.org,,,30.502387,-84.3387782,99,1,1
100,dc570798-1cb1-4919-b217-6414f0a952c8,Hifz Weekend School (Islamic Society of Tampa Bay),"7326 E Sligh Ave, Tampa, FL 33610",Tampa,Florida,33610,United States,813-628–0020,https://www.istaba.org/,mainoffice@istaba.org,Sr. Mariam Razak,,28.0114183,-82.37406879999999,100,1,1
101,3335a2a6-8184-47fc-9868-5e2c2551506e,Muslim Community of Palm Beach County,"4893 Purdy Ln, West Palm Beach, FL 33415",West Paml Beach,Florida,33415,United States,561-969-1584,https://mcpbc.org/,imam@mcpbc.org,Imam,,26.6449815,-80.119384,101,1,1
102,0108816f-fbc4-46e5-bd3e-900f55e1cea8,Hamza Islamic Center,"665 Tidwell Rd, Alpharetta, GA 30004",Alpharetta,Georgia,30004,United States,(770) 558-3519,https://www.masjidhamzah.com/,GeneralSecretary@masjidhamzah.com,Umar Mohamed Ibrahim,General Secretary,34.1173535,-84.2485897,102,1,1
103,a7ed18ba-5d63-4457-871f-9e7ee1966ead,Masjid Al-Taqwa,"2680 Golfside Rd, Ann Arbor, MI 48108",Ann Arbor,Michigan,48108,United States,(734)-829-8380,https://masjidattaqwa.org/,Masjidattaqwaaa@gmail.com,Seikh Ahmed,In Charge,42.2491593,-83.66134629999999,103,1,1
104,4bf7bad9-1ad4-469c-afd1-5d0060ea8d95,Dar-un-Noor Sunday School,"434 14th St NW, Atlanta, GA 30318",Atlanta,Georgia,30318,United States,404-454-5500,https://dunsundayschool.wordpress.com/,dunsundayschool@yahoo.com,Principal,,33.7852811,-84.4014297,104,1,1
105,dfd6b556-58e8-4df6-91b1-9e49594eef12,Masjid Quba,"at Texaco, 5698 Hwy 20 SE, Cartersville, GA 30121",CARTERSVILLE,Georgia,30121,United States,678-719-9770,http://iccga.org/,nfo@iccga.org,,,34.2097593,-84.7585675,105,1,1
106,73cc1968-05e7-4e20-b261-b863fca98abc,Dar-E-Abbas,"5064 Lawrenceville Hwy, Lilburn, GA 30047",Lilburn,Georgia,30047,United States,(404) 277-5295,http://dareabbas.com/,,Masoud Naqvi,Principal,33.8889005,-84.1483832,106,1,1
107,d0fc7430-e186-4df4-a1ee-b031275033ab,Masjid Omar,"955 Harbins Rd NW, Lilburn, GA 30047",Lilburn,Georgia,30047,United States,404-955-0625,https://masjidomar.org/,info@masjidomar.org,Sister Noor,,33.8990973,-84.1700968,107,1,1
108,667c7782-d39a-4a11-a9cf-cc479159cb5b,East Cobb Islamic Center,"1111 Braswell Rd, Marietta, GA 30062",Marietta,Georgia,30062,United States,(678) 528-1414,https://www.ec-ic.org/,info@ec-ic.org,,,33.9785234,-84.48696199999999,108,1,1
109,facceaa5-c413-4dbc-9234-597e3e6c45b7,Masjid-Ibad-Ur- Rahman,"2440 Sandy Plains Rd Building #15, Marietta, GA 30066",Marietta,Georgia,30066,United States,678-560-3398,https://www.ibad-ur-rahman.org/,masjid@ibad-ur-rahman.org,,,34.0090483,-84.49499449999999,109,1,1
110,7202749a-3128-4fef-a9d3-b7239bbd0d80,Roswell Community Masjid,"345 Market Pl, Roswell, GA 30075",Roswell,Georgia,30075,United States,770-640-1411,https://roswellmasjid.org/,info@roswellmasjid.org,,,34.0304729,-84.34019579999999,110,1,1
